,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
10,TC0-1-KWM02-D0035,,,,,,A,P & ID Wastewater Treatment System (11-22)_Recovery water Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0035,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0035,P & ID Wastewater Treatment System (11-22)_Recovery water Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0035,蕭舜予  Ext.:22121 ,R
11,TC0-1-KWM02-D0036,,,,,,A,P & ID Wastewater Treatment System (12-22)_Recycled water Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0036,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0036,P & ID Wastewater Treatment System (12-22)_Recycled water Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0036,蕭舜予  Ext.:22121 ,R
12,TC0-1-KWM02-D0037,,,,,,A,P & ID Wastewater Treatment System (13-22)_Recycled water Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0037,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0037,P & ID Wastewater Treatment System (13-22)_Recycled water Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0037,蕭舜予  Ext.:22121 ,R
13,TC0-1-KWM02-D0038,,,,,,A,P & ID Wastewater Treatment System (14-22)_Sludge treatment system for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0038,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0038,P & ID Wastewater Treatment System (14-22)_Sludge treatment system for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0038,蕭舜予  Ext.:22121 ,R
14,TC0-1-KWM02-D0039,,,,,,A,P & ID Wastewater Treatment System (15-22)_Sludge treatment system for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0039,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0039,P & ID Wastewater Treatment System (15-22)_Sludge treatment system for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0039,蕭舜予  Ext.:22121 ,R
15,TC0-1-KWM02-D0040,,,,,,A,P & ID Wastewater Treatment System (16-22)_Sludge treatment system for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0040,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0040,P & ID Wastewater Treatment System (16-22)_Sludge treatment system for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0040,蕭舜予  Ext.:22121 ,R
16,TC0-1-KWM02-D0041,,,,,,A,P & ID Wastewater Treatment System (17-22)_Sludge treatment system for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0041,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0041,P & ID Wastewater Treatment System (17-22)_Sludge treatment system for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0041,蕭舜予  Ext.:22121 ,R
17,TC0-1-KWM02-D0042,,,,,,A,P & ID Wastewater Treatment System (18-22)_Chemical dosing System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0042,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0042,P & ID Wastewater Treatment System (18-22)_Chemical dosing System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0042,蕭舜予  Ext.:22121 ,R
18,TC0-1-KWM02-D0043,,,,,,A,P & ID Wastewater Treatment System (19-22)_Chemical dosing System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0043,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0043,P & ID Wastewater Treatment System (19-22)_Chemical dosing System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0043,蕭舜予  Ext.:22121 ,R
19,TC0-1-KWM02-D0044,,,,,,A,P & ID Wastewater Treatment System (20-22)_Chemical dosing System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0044,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0044,P & ID Wastewater Treatment System (20-22)_Chemical dosing System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0044,蕭舜予  Ext.:22121 ,R
20,TC0-1-KWM02-D0045,,,,,,A,P & ID Wastewater Treatment System (21-22)_Chemical dosing System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0045,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0045,P & ID Wastewater Treatment System (21-22)_Chemical dosing System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0045,蕭舜予  Ext.:22121 ,R
21,TC0-1-KWM02-D0046,,,,,,A,P & ID Wastewater Treatment System (22-22)_Chemical dosing System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0046,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0046,P & ID Wastewater Treatment System (22-22)_Chemical dosing System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0046,蕭舜予  Ext.:22121 ,R
22,TC0-1-KWM02-D0067,,,,,,A,Design Calculation Sheet for Piping Wall Thickness for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0067,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0067,Design Calculation Sheet for Piping Wall Thickness for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0067,蕭舜予  Ext.:22121 ,R
